Feature,Feature_col,Event,Before_Mean,Before_Std,At_Mean,At_Std,After_Mean,After_Std,Volatility_Change,Mean_Change_Pct
Vibration Fan 1 - Acceleration,vib_1_roc2,SH-02 Carry Forward,0.0,0.0,0.0,0.0,0.0,0.0,,
Vibration Fan 1 - Acceleration,vib_1_roc2,SH-02 Cobble,0.0,0.0,0.0,0.0,0.0,0.0,,
Vibration Fan 1 - Acceleration,vib_1_roc2,SH-03 Cobble (Dec),0.0002772967,0.14660467,0.005063641,0.14588958,0.004279987,0.12080202,0.9951223134994507,1726.0732421875
Vibration Fan 1 - Acceleration,vib_1_roc2,SH-03 Cobble (Nov),-0.002748839,0.11462811,0.015371812,0.09324405,-0.0004340291,0.12909119,0.813448429107666,659.2109985351562
Vibration Fan 1 - Acceleration,vib_1_roc2,SH-03 Dev Cobble,0.0,0.00023068325,0.0,0.0,0.0,0.0,0.0,
Vibration Fan 1 - Acceleration,vib_1_roc2,STD14-15 Cobble,0.0,0.00032623537,0.0,0.0,0.0,0.00023068325,0.0,
Raw Vibration Sensor 2,9_69_CZ75_COA_M75_02_Vib_Sns_Val,SH-02 Carry Forward,1.7041016,0.12273866,1.7132885,0.12568684,1.7400657,0.12238364,1.0240199565887451,0.5391100645065308
Raw Vibration Sensor 2,9_69_CZ75_COA_M75_02_Vib_Sns_Val,SH-02 Cobble,1.7939453,0.10071378,1.6929252,0.09518859,1.7111064,0.10693207,0.9451396465301514,-5.631169319152832
Raw Vibration Sensor 2,9_69_CZ75_COA_M75_02_Vib_Sns_Val,SH-03 Cobble (Dec),0.09824702,0.02327138,0.08043982,0.012389157,0.08218799,0.019655997,0.5323774218559265,-18.12492561340332
Raw Vibration Sensor 2,9_69_CZ75_COA_M75_02_Vib_Sns_Val,SH-03 Cobble (Nov),0.033118732,0.016805122,0.030020252,0.012763414,0.028959299,0.018251186,0.7594954371452332,-9.355672836303711
Raw Vibration Sensor 2,9_69_CZ75_COA_M75_02_Vib_Sns_Val,SH-03 Dev Cobble,2.0345294,0.053032458,2.0068,0.043132026,2.0145159,0.061166484,0.8133137226104736,-1.3629447221755981
Raw Vibration Sensor 2,9_69_CZ75_COA_M75_02_Vib_Sns_Val,STD14-15 Cobble,1.8381438,0.11498636,1.9644098,0.061545417,1.8277634,0.12409428,0.5352410078048706,6.869212627410889
